YP_220550.1	NP_059331.1	69.01	313	97	0	4	316	10	322	8e-149	426
YP_220551.1	NP_059332.1	44.51	346	188	3	1	344	1	344	3e-90	279
YP_220551.1	NP_059341.1	24.54	163	112	3	112	263	231	393	5e-06	49.7
YP_220551.1	NP_059340.1	26.80	97	65	2	98	188	200	296	0.10	35.8
YP_220552.1	NP_059333.1	88.13	514	61	0	1	514	1	514	0.0	877
YP_220552.1	XP_021326074.1	31.82	66	32	2	427	482	16	78	6.9	29.3
YP_220552.1	XP_005162943.1	31.82	66	32	2	427	482	48	110	8.1	29.6
YP_220553.1	NP_059334.1	70.93	227	66	0	1	227	1	227	2e-125	360
YP_220553.1	NP_001038725.1	28.57	70	46	2	15	84	261	326	1.8	31.2
YP_220553.1	XP_005161478.1	28.57	70	46	2	15	84	261	326	1.9	31.2
YP_220553.1	XP_021324580.1	28.57	70	46	2	15	84	163	228	2.2	30.8
YP_220554.1	XP_002665692.3	25.86	58	42	1	5	61	2588	2645	0.13	31.2
YP_220554.1	XP_021324264.1	25.86	58	42	1	5	61	2278	2335	0.13	31.2
YP_220554.1	XP_009290033.1	50.00	30	13	1	26	55	42	69	1.2	28.1
YP_220554.1	XP_005156656.1	37.93	29	17	1	34	61	167	195	7.8	25.4
YP_220554.1	NP_001007391.1	37.93	29	17	1	34	61	167	195	8.0	25.4
YP_220555.1	NP_059336.1	52.21	226	107	1	1	225	1	226	6e-64	202
YP_220556.1	NP_059337.1	78.16	261	57	0	1	261	1	261	2e-144	410
YP_220556.1	XP_021330598.1	37.84	37	23	0	3	39	37	73	1.6	31.6
YP_220556.1	NP_001139036.1	37.84	37	23	0	3	39	37	73	1.7	31.6
YP_220556.1	NP_001070643.1	36.11	36	19	1	173	208	675	706	8.4	29.3
YP_220557.1	NP_059338.1	61.21	116	44	1	1	115	1	116	5e-42	138
YP_220558.1	NP_059339.1	53.06	98	46	0	1	98	1	98	8e-28	100
YP_220558.1	NP_001002376.1	57.89	19	8	0	20	38	136	154	6.8	26.9
YP_220558.1	XP_005158565.1	57.89	19	8	0	20	38	149	167	7.0	26.9
YP_220559.1	NP_059340.1	62.58	457	170	1	1	456	1	457	0.0	572
YP_220559.1	NP_059341.1	23.04	204	146	6	106	306	128	323	1e-05	48.9
YP_220559.1	NP_059332.1	32.43	111	59	6	198	304	97	195	1.3	32.7
YP_220559.1	XP_009301289.1	24.07	108	65	4	169	276	148	238	7.3	30.8
YP_220560.1	NP_059341.1	55.13	595	257	8	7	597	9	597	0.0	617
YP_220560.1	NP_059340.1	23.08	351	246	11	107	442	84	425	2e-09	62.0
YP_220560.1	NP_059332.1	24.17	211	145	6	226	433	105	303	1e-06	52.4
YP_220560.1	XP_017210528.1	26.09	69	44	1	365	433	129	190	1.9	33.1
